m,0.80
12.9197,4.1284
13.0837,4.1074
13.2227,4.0507
13.3392,3.9766
13.4507,3.875
13.5266,3.7835
13.6197,3.6237
13.7009,3.4067

m,0.87
14.7535,5.308
15.0053,5.2811
15.2164,5.2226
15.3802,5.1467
15.5802,5.0043
15.6924,4.882
15.7739,4.7439
15.8264,4.5925
15.863,4.4129

m,0.94
16.9321,6.2918
17.1209,6.2583
17.2459,6.2115
17.3691,6.1432
17.5459,5.9975
17.6836,5.8186
17.7634,5.6664

m,1.0
19.345,7.6725
19.49,7.5579
19.5582,7.4892
19.6079,7.4205
19.6523,7.3307
19.6808,7.2251
19.6998,7.0126
19.7039,6.6933
