m,0.80
12.8623,0.923847
12.9832,0.928165
13.1348,0.931486
13.2563,0.933079
13.416,0.934141
13.4966,0.934041
13.5522,0.933077
13.6052,0.930718
13.6323,0.926067
13.6582,0.917528
13.697,0.894969

m,0.87
14.7217,0.891373
14.8267,0.894628
15.0766,0.901138
15.3035,0.906034
15.4899,0.909777
15.5652,0.911095
15.6127,0.911253
15.6694,0.910936
15.7208,0.909775
15.7681,0.907296
15.8075,0.904089
15.8512,0.899604
15.8882,0.894653

m,0.94
16.9325,0.811203
17.0819,0.818235
17.2144,0.824846
17.3552,0.831293
17.4876,0.83623
17.5822,0.839664
17.6451,0.840747
17.6799,0.838988
17.7012,0.834836
17.7319,0.824273

m,1.0
19.2899,0.844142
19.5071,0.83681
19.6134,0.830744
19.679,0.825204
19.722,0.819351
19.7387,0.813812
19.7525,0.80511
