,a_pi,b_pi,theta_pi,a_n,b_n,theta_n,surge_m,choke_pi
0.8,14.122938939486678,2.720644743156577,0.25454326766065644,13.747393119355554,0.2014981325383895,0.0663672939218754,10.577110679862741,3.419939598725848
0.87,16.50171557032882,2.9549808730302733,0.2873380224493704,15.896044118950737,0.1608716970305029,0.05640199556896286,13.100256835605645,4.520306022422132
0.94,18.63884668085971,3.1261373019286993,0.31342550023558646,17.902059864011143,0.059804492589039276,0.046939919582096416,15.304276241429998,5.576819878469482
1.0,20.970729292632214,4.151917014639016,0.3535218456107847,19.770333895546294,0.27226626967908374,0.0406966480749355,16.6568119330195,6.957019135560841
